booking_id,hotel_name,city,country,hotel_type,room_type,booking_date,check_in_date,check_out_date,length_of_stay,num_guests,room_rate,total_revenue,customer_segment,booking_channel,is_cancelled,rating,adr,revpar,year,month,month_name,quarter,weekday,is_weekend,year_month,revenue_segment,stay_segment,occupancy_rate,cancellation_rate
BK010015,Airport Hotel London,London,GB,Airport,Standard,2023-10-21,2023-11-14,2023-11-17,3,3,147.54,442.63,Couple,Trivago,0,4.3,147.54,147.54,2023,11,November,4,Tuesday,False,2023-11,Medium,Medium (3-5),1.0,0.0
BK010016,Boutique Hotel Paris,Paris,FR,Boutique,Suite,2024-10-21,2025-04-03,2025-04-04,1,3,151.32,151.32,Leisure,Expedia,0,4.6,151.32,151.32,2025,4,April,2,Thursday,False,2025-04,Low,Short (1-2),1.0,0.0
BK010017,Boutique Hotel Berlin,Berlin,DE,Boutique,Suite,2024-04-17,2024-10-12,2024-10-19,7,4,74.34,520.39,Couple,Direct,1,,74.34,74.34,2024,10,October,4,Saturday,True,2024-10,High,Long (6-10),1.0,1.0
BK010018,Resort Hotel Paris,Paris,FR,Resort,Standard,2023-01-09,2023-04-18,2023-04-22,4,3,329.78,1319.13,Couple,Booking.com,0,4.4,329.78,329.78,2023,4,April,2,Tuesday,False,2023-04,Very High,Medium (3-5),1.0,0.0
BK010019,Luxury Hotel Paris,Paris,FR,Luxury,Deluxe,2023-08-15,2023-12-05,2023-12-06,1,2,659.36,659.36,Leisure,Trivago,0,4.2,659.36,659.36,2023,12,December,4,Tuesday,False,2023-12,High,Short (1-2),1.0,0.0
BK010020,Luxury Hotel Paris,Paris,FR,Luxury,Single,2024-05-18,2024-09-23,2024-09-27,4,2,424.13,1696.5,Family,Trivago,0,4.9,424.13,424.13,2024,9,September,3,Monday,False,2024-09,Very High,Medium (3-5),1.0,0.0
BK010021,Resort Hotel New York,New York,US,Resort,Single,2023-10-10,2023-11-06,2023-11-10,4,1,368.75,1475.01,Solo,Trivago,0,4.2,368.75,368.75,2023,11,November,4,Monday,False,2023-11,Very High,Medium (3-5),1.0,0.0
BK010022,Luxury Hotel Toronto,Toronto,CA,Luxury,Deluxe,2023-02-15,2023-06-12,2023-06-17,5,4,501.44,2507.19,Business,Direct,0,3.4,501.44,501.44,2023,6,June,2,Monday,False,2023-06,Very High,Medium (3-5),1.0,0.0
BK010023,Business Hotel Amsterdam,Amsterdam,NL,Business,Standard,2023-06-10,2023-08-16,2023-08-17,1,3,165.7,165.7,Leisure,Direct,1,,165.7,165.7,2023,8,August,3,Wednesday,False,2023-08,Low,Short (1-2),1.0,1.0
BK010024,Luxury Hotel Berlin,Berlin,DE,Luxury,Single,2024-09-30,2025-03-04,2025-03-06,2,2,265.7,531.4,Leisure,Expedia,0,3.6,265.7,265.7,2025,3,March,1,Tuesday,False,2025-03,High,Short (1-2),1.0,0.0
BK010025,Luxury Hotel Barcelona,Barcelona,ES,Luxury,Suite,2024-02-12,2024-02-25,2024-02-26,1,3,276.84,276.84,Couple,Agoda,0,5.0,276.84,276.84,2024,2,February,1,Sunday,True,2024-02,Medium,Short (1-2),1.0,0.0
BK010026,Boutique Hotel Singapore,Singapore,SG,Boutique,Single,2023-12-20,2024-02-24,2024-02-26,2,2,139.06,278.11,Leisure,Expedia,0,4.3,139.06,139.06,2024,2,February,1,Saturday,True,2024-02,Medium,Short (1-2),1.0,0.0
BK010027,Resort Hotel Dubai,Dubai,AE,Resort,Suite,2024-03-19,2024-06-28,2024-07-01,3,3,511.12,1533.36,Couple,Trivago,0,4.6,511.12,511.12,2024,6,June,2,Friday,False,2024-06,Very High,Medium (3-5),1.0,0.0
BK010028,Airport Hotel Berlin,Berlin,DE,Airport,Twin,2024-10-17,2024-10-30,2024-11-09,10,2,90.07,900.73,Leisure,Booking.com,1,,90.07,90.07,2024,10,October,4,Wednesday,False,2024-10,High,Long (6-10),1.0,1.0
BK010029,Business Hotel New York,New York,US,Business,Double,2023-05-07,2023-09-21,2023-09-25,4,1,281.97,1127.87,Leisure,Booking.com,0,4.4,281.97,281.97,2023,9,September,3,Thursday,False,2023-09,Very High,Medium (3-5),1.0,0.0
BK010030,Boutique Hotel Barcelona,Barcelona,ES,Boutique,Suite,2024-12-04,2025-02-11,2025-02-14,3,2,136.35,409.04,Family,Expedia,0,4.0,136.35,136.35,2025,2,February,1,Tuesday,False,2025-02,Medium,Medium (3-5),1.0,0.0
BK010031,Luxury Hotel Tokyo,Tokyo,JP,Luxury,Standard,2023-08-06,2024-01-29,2024-02-03,5,2,408.26,2041.28,Leisure,Direct,0,4.1,408.26,408.26,2024,1,January,1,Monday,False,2024-01,Very High,Medium (3-5),1.0,0.0
BK010032,Budget Hotel Dubai,Dubai,AE,Budget,Suite,2024-10-20,2025-01-24,2025-01-29,5,3,104.36,521.81,Leisure,Booking.com,0,4.3,104.36,104.36,2025,1,January,1,Friday,False,2025-01,High,Medium (3-5),1.0,0.0
BK010033,Budget Hotel New York,New York,US,Budget,Twin,2024-11-20,2025-05-02,2025-05-05,3,3,164.9,494.69,Couple,Trivago,1,,164.9,164.9,2025,5,May,2,Friday,False,2025-05,Medium,Medium (3-5),1.0,1.0
BK010034,Airport Hotel Toronto,Toronto,CA,Airport,Double,2023-02-12,2023-03-28,2023-03-30,2,2,152.48,304.96,Leisure,Trivago,0,3.9,152.48,152.48,2023,3,March,1,Tuesday,False,2023-03,Medium,Short (1-2),1.0,0.0
BK010035,Resort Hotel Barcelona,Barcelona,ES,Resort,Double,2024-08-24,2025-02-02,2025-02-04,2,4,209.82,419.64,Couple,Trivago,1,,209.82,209.82,2025,2,February,1,Sunday,True,2025-02,Medium,Short (1-2),1.0,1.0
BK010036,Boutique Hotel Rome,Rome,IT,Boutique,Single,2024-11-06,2025-03-24,2025-03-26,2,3,158.32,316.65,Couple,Trivago,0,4.6,158.32,158.32,2025,3,March,1,Monday,False,2025-03,Medium,Short (1-2),1.0,0.0
BK010037,Luxury Hotel Barcelona,Barcelona,ES,Luxury,Twin,2023-02-06,2023-02-18,2023-02-20,2,1,247.27,494.53,Business,Trivago,0,3.0,247.27,247.27,2023,2,February,1,Saturday,True,2023-02,Medium,Short (1-2),1.0,0.0
BK010038,Boutique Hotel Amsterdam,Amsterdam,NL,Boutique,Suite,2023-01-19,2023-07-15,2023-07-16,1,2,158.99,158.99,Couple,Hotels.com,1,,158.99,158.99,2023,7,July,3,Saturday,True,2023-07,Low,Short (1-2),1.0,1.0
BK010039,Boutique Hotel Dubai,Dubai,AE,Boutique,Suite,2024-05-20,2024-09-08,2024-09-09,1,3,259.76,259.76,Business,Booking.com,1,,259.76,259.76,2024,9,September,3,Sunday,True,2024-09,Medium,Short (1-2),1.0,1.0
BK010040,Budget Hotel Berlin,Berlin,DE,Budget,Twin,2023-07-05,2023-12-19,2024-01-02,14,4,64.0,895.99,Family,Expedia,1,,64.0,64.0,2023,12,December,4,Tuesday,False,2023-12,High,Extended (10+),1.0,1.0
BK010041,Budget Hotel New York,New York,US,Budget,Standard,2023-01-09,2023-03-24,2023-03-29,5,1,155.51,777.56,Leisure,Agoda,0,3.8,155.51,155.51,2023,3,March,1,Friday,False,2023-03,High,Medium (3-5),1.0,0.0
BK010042,Budget Hotel Rome,Rome,IT,Budget,Single,2023-01-29,2023-07-13,2023-07-15,2,4,96.57,193.15,Solo,Expedia,0,4.6,96.57,96.57,2023,7,July,3,Thursday,False,2023-07,Low,Short (1-2),1.0,0.0
BK010043,Boutique Hotel Singapore,Singapore,SG,Boutique,Double,2024-02-19,2024-03-09,2024-03-13,4,2,152.74,610.98,Leisure,Expedia,0,4.2,152.74,152.74,2024,3,March,1,Saturday,True,2024-03,High,Medium (3-5),1.0,0.0
BK010044,Airport Hotel Toronto,Toronto,CA,Airport,Single,2023-12-27,2024-06-11,2024-06-15,4,4,152.72,610.86,Solo,Hotels.com,0,3.5,152.72,152.72,2024,6,June,2,Tuesday,False,2024-06,High,Medium (3-5),1.0,0.0
BK010045,Airport Hotel Dubai,Dubai,AE,Airport,Deluxe,2024-11-02,2025-04-24,2025-04-25,1,2,235.63,235.63,Business,Booking.com,0,4.2,235.63,235.63,2025,4,April,2,Thursday,False,2025-04,Medium,Short (1-2),1.0,0.0
BK010046,Luxury Hotel Paris,Paris,FR,Luxury,Twin,2024-05-27,2024-09-21,2024-09-25,4,3,442.51,1770.05,Leisure,Booking.com,0,5.0,442.51,442.51,2024,9,September,3,Saturday,True,2024-09,Very High,Medium (3-5),1.0,0.0
BK010047,Budget Hotel Toronto,Toronto,CA,Budget,Single,2024-11-28,2025-01-27,2025-01-30,3,1,72.79,218.37,Business,Trivago,0,2.9,72.79,72.79,2025,1,January,1,Monday,False,2025-01,Medium,Medium (3-5),1.0,0.0
BK010048,Boutique Hotel London,London,GB,Boutique,Deluxe,2024-07-11,2024-08-15,2024-08-20,5,4,208.51,1042.55,Leisure,Direct,0,5.0,208.51,208.51,2024,8,August,3,Thursday,False,2024-08,Very High,Medium (3-5),1.0,0.0
BK010049,Boutique Hotel New York,New York,US,Boutique,Deluxe,2024-01-09,2024-03-14,2024-03-17,3,3,226.91,680.72,Business,Expedia,0,5.0,226.91,226.91,2024,3,March,1,Thursday,False,2024-03,High,Medium (3-5),1.0,0.0
BK010050,Airport Hotel Barcelona,Barcelona,ES,Airport,Suite,2023-04-09,2023-08-16,2023-08-17,1,3,156.12,156.12,Solo,Expedia,0,4.2,156.12,156.12,2023,8,August,3,Wednesday,False,2023-08,Low,Short (1-2),1.0,0.0
BK010051,Boutique Hotel New York,New York,US,Boutique,Deluxe,2023-03-26,2023-06-12,2023-06-14,2,3,258.28,516.56,Leisure,Trivago,0,4.6,258.28,258.28,2023,6,June,2,Monday,False,2023-06,High,Short (1-2),1.0,0.0
BK010052,Boutique Hotel Paris,Paris,FR,Boutique,Double,2023-06-03,2023-11-12,2023-11-15,3,2,156.9,470.7,Family,Trivago,0,5.0,156.9,156.9,2023,11,November,4,Sunday,True,2023-11,Medium,Medium (3-5),1.0,0.0
BK010053,Airport Hotel Dubai,Dubai,AE,Airport,Double,2023-10-30,2024-03-29,2024-04-02,4,3,226.7,906.81,Leisure,Trivago,0,4.2,226.7,226.7,2024,3,March,1,Friday,False,2024-03,High,Medium (3-5),1.0,0.0
BK010054,Resort Hotel New York,New York,US,Resort,Standard,2024-03-22,2024-05-13,2024-05-16,3,4,516.25,1548.76,Couple,Trivago,0,4.5,516.25,516.25,2024,5,May,2,Monday,False,2024-05,Very High,Medium (3-5),1.0,0.0
BK010055,Airport Hotel London,London,GB,Airport,Deluxe,2024-05-22,2024-08-14,2024-08-17,3,2,215.23,645.68,Family,Booking.com,0,3.7,215.23,215.23,2024,8,August,3,Wednesday,False,2024-08,High,Medium (3-5),1.0,0.0
BK010056,Resort Hotel Singapore,Singapore,SG,Resort,Suite,2023-07-02,2023-09-20,2023-09-21,1,2,320.29,320.29,Solo,Hotels.com,0,4.0,320.29,320.29,2023,9,September,3,Wednesday,False,2023-09,Medium,Short (1-2),1.0,0.0
BK010057,Resort Hotel London,London,GB,Resort,Double,2023-02-20,2023-07-17,2023-07-22,5,2,460.49,2302.43,Leisure,Booking.com,0,3.4,460.49,460.49,2023,7,July,3,Monday,False,2023-07,Very High,Medium (3-5),1.0,0.0
BK010058,Airport Hotel Amsterdam,Amsterdam,NL,Airport,Standard,2023-03-14,2023-04-09,2023-04-13,4,1,132.04,528.16,Couple,Expedia,0,3.4,132.04,132.04,2023,4,April,2,Sunday,True,2023-04,High,Medium (3-5),1.0,0.0
BK010059,Airport Hotel Singapore,Singapore,SG,Airport,Double,2023-09-10,2023-10-27,2023-10-29,2,3,164.61,329.22,Leisure,Booking.com,0,5.0,164.61,164.61,2023,10,October,4,Friday,False,2023-10,Medium,Short (1-2),1.0,0.0
BK010060,Resort Hotel Sydney,Sydney,AU,Resort,Deluxe,2023-01-07,2023-01-10,2023-01-15,5,2,260.6,1303.01,Business,Expedia,0,4.9,260.6,260.6,2023,1,January,1,Tuesday,False,2023-01,Very High,Medium (3-5),1.0,0.0
BK010061,Airport Hotel Berlin,Berlin,DE,Airport,Suite,2023-02-08,2023-02-25,2023-02-27,2,2,76.04,152.08,Leisure,Expedia,0,3.2,76.04,76.04,2023,2,February,1,Saturday,True,2023-02,Low,Short (1-2),1.0,0.0
BK010062,Luxury Hotel Rome,Rome,IT,Luxury,Suite,2023-04-21,2023-08-10,2023-08-14,4,2,397.91,1591.62,Leisure,Direct,0,3.7,397.91,397.91,2023,8,August,3,Thursday,False,2023-08,Very High,Medium (3-5),1.0,0.0
BK010063,Luxury Hotel Amsterdam,Amsterdam,NL,Luxury,Deluxe,2023-11-11,2024-02-28,2024-03-01,2,1,268.47,536.93,Business,Booking.com,0,3.8,268.47,268.47,2024,2,February,1,Wednesday,False,2024-02,High,Short (1-2),1.0,0.0
BK010064,Business Hotel Singapore,Singapore,SG,Business,Suite,2023-02-09,2023-03-17,2023-03-31,14,1,146.16,2046.2,Family,Expedia,0,4.8,146.16,146.16,2023,3,March,1,Friday,False,2023-03,Very High,Extended (10+),1.0,0.0
BK010065,Budget Hotel Toronto,Toronto,CA,Budget,Standard,2024-12-15,2025-04-30,2025-05-03,3,2,98.65,295.94,Business,Direct,0,3.5,98.65,98.65,2025,4,April,2,Wednesday,False,2025-04,Medium,Medium (3-5),1.0,0.0
BK010066,Luxury Hotel Paris,Paris,FR,Luxury,Standard,2023-05-19,2023-08-27,2023-08-29,2,1,509.5,1019.0,Couple,Booking.com,0,3.9,509.5,509.5,2023,8,August,3,Sunday,True,2023-08,Very High,Short (1-2),1.0,0.0
BK010067,Luxury Hotel Amsterdam,Amsterdam,NL,Luxury,Single,2024-08-18,2024-10-22,2024-10-23,1,2,312.02,312.02,Business,Agoda,0,5.0,312.02,312.02,2024,10,October,4,Tuesday,False,2024-10,Medium,Short (1-2),1.0,0.0
BK010068,Business Hotel Amsterdam,Amsterdam,NL,Business,Suite,2023-11-30,2024-03-26,2024-03-30,4,3,154.03,616.12,Couple,Expedia,0,4.0,154.03,154.03,2024,3,March,1,Tuesday,False,2024-03,High,Medium (3-5),1.0,0.0
BK010069,Budget Hotel Paris,Paris,FR,Budget,Deluxe,2023-08-17,2023-08-31,2023-09-04,4,2,151.85,607.38,Couple,Trivago,0,5.0,151.85,151.85,2023,8,August,3,Thursday,False,2023-08,High,Medium (3-5),1.0,0.0
BK010070,Airport Hotel Rome,Rome,IT,Airport,Twin,2024-02-06,2024-03-17,2024-03-20,3,2,143.8,431.41,Business,Booking.com,1,,143.8,143.8,2024,3,March,1,Sunday,True,2024-03,Medium,Medium (3-5),1.0,1.0
BK010071,Boutique Hotel Paris,Paris,FR,Boutique,Standard,2024-05-17,2024-07-09,2024-07-16,7,4,311.52,2180.62,Family,Trivago,0,4.6,311.52,311.52,2024,7,July,3,Tuesday,False,2024-07,Very High,Long (6-10),1.0,0.0
BK010072,Luxury Hotel Singapore,Singapore,SG,Luxury,Single,2024-04-22,2024-09-24,2024-09-28,4,3,474.84,1899.36,Family,Expedia,0,5.0,474.84,474.84,2024,9,September,3,Tuesday,False,2024-09,Very High,Medium (3-5),1.0,0.0
BK010073,Budget Hotel Singapore,Singapore,SG,Budget,Suite,2024-09-26,2024-12-09,2024-12-11,2,2,132.33,264.65,Couple,Trivago,0,3.9,132.33,132.33,2024,12,December,4,Monday,False,2024-12,Medium,Short (1-2),1.0,0.0
BK010074,Boutique Hotel Paris,Paris,FR,Boutique,Suite,2024-11-15,2025-03-25,2025-03-26,1,2,165.08,165.08,Family,Direct,0,4.1,165.08,165.08,2025,3,March,1,Tuesday,False,2025-03,Low,Short (1-2),1.0,0.0
BK010075,Resort Hotel Sydney,Sydney,AU,Resort,Double,2023-05-14,2023-06-06,2023-06-09,3,2,441.82,1325.47,Leisure,Direct,0,5.0,441.82,441.82,2023,6,June,2,Tuesday,False,2023-06,Very High,Medium (3-5),1.0,0.0
BK010076,Luxury Hotel Berlin,Berlin,DE,Luxury,Standard,2023-05-07,2023-08-21,2023-08-25,4,1,353.78,1415.1,Business,Agoda,0,5.0,353.78,353.78,2023,8,August,3,Monday,False,2023-08,Very High,Medium (3-5),1.0,0.0
BK010077,Business Hotel Amsterdam,Amsterdam,NL,Business,Suite,2024-10-22,2025-04-15,2025-04-16,1,3,151.0,151.0,Leisure,Trivago,0,4.9,151.0,151.0,2025,4,April,2,Tuesday,False,2025-04,Low,Short (1-2),1.0,0.0
BK010078,Boutique Hotel London,London,GB,Boutique,Single,2024-01-21,2024-06-04,2024-06-06,2,2,262.86,525.72,Family,Trivago,0,4.2,262.86,262.86,2024,6,June,2,Tuesday,False,2024-06,High,Short (1-2),1.0,0.0
BK010079,Airport Hotel Sydney,Sydney,AU,Airport,Double,2024-12-10,2025-03-08,2025-03-10,2,1,144.38,288.77,Solo,Trivago,1,,144.38,144.38,2025,3,March,1,Saturday,True,2025-03,Medium,Short (1-2),1.0,1.0
BK010080,Resort Hotel Singapore,Singapore,SG,Resort,Deluxe,2023-12-27,2024-06-21,2024-06-24,3,2,341.92,1025.77,Family,Booking.com,1,,341.92,341.92,2024,6,June,2,Friday,False,2024-06,Very High,Medium (3-5),1.0,1.0
BK010081,Boutique Hotel Rome,Rome,IT,Boutique,Double,2023-02-01,2023-07-09,2023-07-10,1,2,145.92,145.92,Family,Trivago,0,2.5,145.92,145.92,2023,7,July,3,Sunday,True,2023-07,Low,Short (1-2),1.0,0.0
BK010082,Budget Hotel New York,New York,US,Budget,Twin,2024-11-08,2025-05-06,2025-05-07,1,2,122.09,122.09,Leisure,Agoda,0,5.0,122.09,122.09,2025,5,May,2,Tuesday,False,2025-05,Low,Short (1-2),1.0,0.0
BK010083,Boutique Hotel Dubai,Dubai,AE,Boutique,Twin,2024-03-18,2024-05-29,2024-05-30,1,3,148.25,148.25,Leisure,Expedia,1,,148.25,148.25,2024,5,May,2,Wednesday,False,2024-05,Low,Short (1-2),1.0,1.0
BK010084,Resort Hotel Tokyo,Tokyo,JP,Resort,Deluxe,2023-10-15,2024-02-12,2024-02-17,5,2,220.01,1100.03,Leisure,Booking.com,0,3.4,220.01,220.01,2024,2,February,1,Monday,False,2024-02,Very High,Medium (3-5),1.0,0.0
BK010085,Resort Hotel Paris,Paris,FR,Resort,Deluxe,2023-05-31,2023-08-24,2023-08-25,1,3,479.58,479.58,Couple,Trivago,0,4.1,479.58,479.58,2023,8,August,3,Thursday,False,2023-08,Medium,Short (1-2),1.0,0.0
BK010086,Budget Hotel Dubai,Dubai,AE,Budget,Standard,2024-12-07,2025-04-05,2025-04-07,2,4,119.58,239.16,Family,Agoda,0,5.0,119.58,119.58,2025,4,April,2,Saturday,True,2025-04,Medium,Short (1-2),1.0,0.0
BK010087,Boutique Hotel Rome,Rome,IT,Boutique,Standard,2023-10-07,2023-12-27,2024-01-01,5,2,135.18,675.88,Business,Booking.com,0,4.1,135.18,135.18,2023,12,December,4,Wednesday,False,2023-12,High,Medium (3-5),1.0,0.0
BK010088,Airport Hotel Singapore,Singapore,SG,Airport,Twin,2023-08-25,2023-09-19,2023-09-21,2,4,134.93,269.86,Leisure,Booking.com,0,4.0,134.93,134.93,2023,9,September,3,Tuesday,False,2023-09,Medium,Short (1-2),1.0,0.0
BK010089,Luxury Hotel Tokyo,Tokyo,JP,Luxury,Standard,2023-05-26,2023-10-01,2023-10-02,1,2,366.64,366.64,Couple,Booking.com,0,3.7,366.64,366.64,2023,10,October,4,Sunday,True,2023-10,Medium,Short (1-2),1.0,0.0
BK010090,Business Hotel Sydney,Sydney,AU,Business,Suite,2023-01-27,2023-03-25,2023-03-27,2,2,177.33,354.66,Business,Trivago,0,5.0,177.33,177.33,2023,3,March,1,Saturday,True,2023-03,Medium,Short (1-2),1.0,0.0
BK010091,Airport Hotel Toronto,Toronto,CA,Airport,Twin,2024-09-25,2024-11-10,2024-11-11,1,4,123.2,123.2,Family,Booking.com,0,5.0,123.2,123.2,2024,11,November,4,Sunday,True,2024-11,Low,Short (1-2),1.0,0.0
BK010092,Airport Hotel Singapore,Singapore,SG,Airport,Deluxe,2023-04-08,2023-06-02,2023-06-06,4,2,153.25,613.0,Family,Direct,0,4.1,153.25,153.25,2023,6,June,2,Friday,False,2023-06,High,Medium (3-5),1.0,0.0
BK010093,Business Hotel Amsterdam,Amsterdam,NL,Business,Double,2024-05-21,2024-09-07,2024-09-08,1,3,139.27,139.27,Leisure,Trivago,0,5.0,139.27,139.27,2024,9,September,3,Saturday,True,2024-09,Low,Short (1-2),1.0,0.0
BK010094,Business Hotel Singapore,Singapore,SG,Business,Suite,2024-05-12,2024-08-28,2024-09-01,4,4,185.31,741.25,Solo,Expedia,0,4.0,185.31,185.31,2024,8,August,3,Wednesday,False,2024-08,High,Medium (3-5),1.0,0.0
BK010095,Boutique Hotel Rome,Rome,IT,Boutique,Deluxe,2024-05-11,2024-06-27,2024-06-28,1,3,189.4,189.4,Business,Agoda,0,4.9,189.4,189.4,2024,6,June,2,Thursday,False,2024-06,Low,Short (1-2),1.0,0.0
BK010096,Business Hotel Berlin,Berlin,DE,Business,Single,2024-07-24,2024-12-25,2024-12-26,1,4,135.3,135.3,Solo,Expedia,0,3.2,135.3,135.3,2024,12,December,4,Wednesday,False,2024-12,Low,Short (1-2),1.0,0.0
BK010097,Airport Hotel London,London,GB,Airport,Suite,2024-05-12,2024-07-10,2024-07-17,7,3,241.85,1692.93,Business,Direct,0,4.9,241.85,241.85,2024,7,July,3,Wednesday,False,2024-07,Very High,Long (6-10),1.0,0.0
BK010098,Boutique Hotel Dubai,Dubai,AE,Boutique,Double,2024-09-11,2024-10-26,2024-10-27,1,2,211.39,211.39,Business,Trivago,0,4.3,211.39,211.39,2024,10,October,4,Saturday,True,2024-10,Medium,Short (1-2),1.0,0.0
BK010099,Resort Hotel Berlin,Berlin,DE,Resort,Standard,2024-02-01,2024-07-11,2024-07-16,5,4,195.6,977.98,Family,Agoda,0,2.3,195.6,195.6,2024,7,July,3,Thursday,False,2024-07,High,Medium (3-5),1.0,0.0
BK010100,Airport Hotel Barcelona,Barcelona,ES,Airport,Suite,2024-02-20,2024-05-26,2024-05-30,4,2,119.56,478.25,Couple,Hotels.com,0,3.8,119.56,119.56,2024,5,May,2,Sunday,True,2024-05,Medium,Medium (3-5),1.0,0.0
BK010101,Boutique Hotel New York,New York,US,Boutique,Deluxe,2023-12-25,2024-03-18,2024-03-22,4,2,199.58,798.33,Solo,Booking.com,0,3.5,199.58,199.58,2024,3,March,1,Monday,False,2024-03,High,Medium (3-5),1.0,0.0
BK010102,Resort Hotel Rome,Rome,IT,Resort,Suite,2024-08-07,2024-12-28,2024-12-30,2,4,329.89,659.79,Family,Agoda,1,,329.89,329.89,2024,12,December,4,Saturday,True,2024-12,High,Short (1-2),1.0,1.0
BK010103,Resort Hotel Rome,Rome,IT,Resort,Deluxe,2024-12-11,2025-02-01,2025-02-02,1,3,153.18,153.18,Solo,Expedia,0,4.1,153.18,153.18,2025,2,February,1,Saturday,True,2025-02,Low,Short (1-2),1.0,0.0
BK010104,Budget Hotel Dubai,Dubai,AE,Budget,Standard,2024-05-20,2024-05-23,2024-05-28,5,4,122.08,610.39,Business,Trivago,0,2.8,122.08,122.08,2024,5,May,2,Thursday,False,2024-05,High,Medium (3-5),1.0,0.0
BK010105,Boutique Hotel New York,New York,US,Boutique,Twin,2024-02-23,2024-08-19,2024-08-22,3,2,333.65,1000.94,Solo,Trivago,0,3.5,333.65,333.65,2024,8,August,3,Monday,False,2024-08,Very High,Medium (3-5),1.0,0.0
